0 	 0 	 0 	 '\x00' 
1 	 1 	 1 	 '\x01' 
2 	 10 	 2 	 '\x02' 
3 	 11 	 3 	 '\x03' 
4 	 100 	 4 	 '\x04' 
5 	 101 	 5 	 '\x05' 
6 	 110 	 6 	 '\x06' 
7 	 111 	 7 	 '\a' 
8 	 1000 	 8 	 '\b' 
9 	 1001 	 9 	 '\t' 
10 	 1010 	 a 	 '\n' 
11 	 1011 	 b 	 '\v' 
12 	 1100 	 c 	 '\f' 
13 	 1101 	 d 	 '\r' 
14 	 1110 	 e 	 '\x0e' 
15 	 1111 	 f 	 '\x0f' 
16 	 10000 	 10 	 '\x10' 
17 	 10001 	 11 	 '\x11' 
18 	 10010 	 12 	 '\x12' 
19 	 10011 	 13 	 '\x13' 
20 	 10100 	 14 	 '\x14' 
21 	 10101 	 15 	 '\x15' 
22 	 10110 	 16 	 '\x16' 
23 	 10111 	 17 	 '\x17' 
24 	 11000 	 18 	 '\x18' 
25 	 11001 	 19 	 '\x19' 
26 	 11010 	 1a 	 '\x1a' 
27 	 11011 	 1b 	 '\x1b' 
28 	 11100 	 1c 	 '\x1c' 
29 	 11101 	 1d 	 '\x1d' 
30 	 11110 	 1e 	 '\x1e' 
31 	 11111 	 1f 	 '\x1f' 
32 	 100000 	 20 	 ' ' 
33 	 100001 	 21 	 '!' 
34 	 100010 	 22 	 '"' 
35 	 100011 	 23 	 '#' 
36 	 100100 	 24 	 '$' 
37 	 100101 	 25 	 '%' 
38 	 100110 	 26 	 '&' 
39 	 100111 	 27 	 '\'' 
40 	 101000 	 28 	 '(' 
41 	 101001 	 29 	 ')' 
42 	 101010 	 2a 	 '*' 
43 	 101011 	 2b 	 '+' 
44 	 101100 	 2c 	 ',' 
45 	 101101 	 2d 	 '-' 
46 	 101110 	 2e 	 '.' 
47 	 101111 	 2f 	 '/' 
48 	 110000 	 30 	 '0' 
49 	 110001 	 31 	 '1' 
50 	 110010 	 32 	 '2' 
51 	 110011 	 33 	 '3' 
52 	 110100 	 34 	 '4' 
53 	 110101 	 35 	 '5' 
54 	 110110 	 36 	 '6' 
55 	 110111 	 37 	 '7' 
56 	 111000 	 38 	 '8' 
57 	 111001 	 39 	 '9' 
58 	 111010 	 3a 	 ':' 
59 	 111011 	 3b 	 ';' 
60 	 111100 	 3c 	 '<' 
61 	 111101 	 3d 	 '=' 
62 	 111110 	 3e 	 '>' 
63 	 111111 	 3f 	 '?' 
64 	 1000000 	 40 	 '@' 
65 	 1000001 	 41 	 'A' 
66 	 1000010 	 42 	 'B' 
67 	 1000011 	 43 	 'C' 
68 	 1000100 	 44 	 'D' 
69 	 1000101 	 45 	 'E' 
70 	 1000110 	 46 	 'F' 
71 	 1000111 	 47 	 'G' 
72 	 1001000 	 48 	 'H' 
73 	 1001001 	 49 	 'I' 
74 	 1001010 	 4a 	 'J' 
75 	 1001011 	 4b 	 'K' 
76 	 1001100 	 4c 	 'L' 
